site_name,site_address,site_city,site_state,site_zip_code,latitude,longitude,animal_type,total_no_of_animals,total_no_of_animal_units,name
1st generation farm,12944 county road 65,roanoke,al,36274,33.281283,-85.343105,chicken,NA,NA,1st generation farm
2 t's poultry farms,1373 county road 55,fort payne,al,35967,34.310619,-85.77706,chicken,NA,NA,2 ts poultry farms
3 childress farm,10060 martling road,albertville,al,35951,34.40018,-86.14617,chicken,NA,NA,3 childress farm
3d farms,18699 county road 87,woodland,al,36280,33.388005,-85.304283,chicken,NA,NA,3d farms
4 k smith farm,county road 112,fort payne,al,35968,34.57331,-85.744,chicken,NA,NA,4 k smith farm
4 m farms,county road 502,ozark,al,36360,31.4151,-85.56596,chicken,NA,NA,4 m farms
4 star farms,2258 county road 57 south,shorterville,al,36373,31.529412,-85.182005,chicken,NA,NA,4 star farms
442 farm,county road 442,kinston,al,36453,31.298889,-86.171944,chicken,NA,NA,442 farm
4m farm,county road 23,clio,al,36017,31.69645,-85.57265,chicken,NA,NA,4m farm
5 b poultry farms,5450 old smithville rd,flatonia,tx,NA,29.755186,-97.119201,chicken,NA,NA,5 b poultry farms
5 w farms,998 co. rd. 307,ariton,al,36374,31.588333,-85.5925,chicken,NA,NA,5 w farms
5r farms,2252 west main street,daleville,al,36322,31.236761,-85.753751,chicken,NA,NA,5r farms
a & j farms,corner of cr 1 and brazell rd.,rutledge,al,36071,31.714444,-86.383611,chicken,NA,NA,a  j farms
a&d poultry,2541 poultry ln,nashville,nc,27856,36.0033,-77.9889,chicken,110600,NA,ad poultry
"a&p farms, inc.",4541 shelltown rd,marion,md,21838,38.0002141082457,-75.6390559768404,chicken,153200,NA,ap farms inc
aaron dennis/carr's creek farm (expansion),21110 tanyard rd,preston,md,21655,38.754465348175,-75.9752125751821,chicken,88300,NA,aaron denniscarrs creek farm expansion
aaron lessig/lessig & madison brooke farm,10819 jerusalem rd,princess anne,md,21853,38.1785301,-75.8014814,chicken,206000,NA,aaron lessiglessig  madison brooke farm
abercrombie farms,1133 highway 130,louisville,al,36048,31.78435,-85.64848,chicken,NA,NA,abercrombie farms
aberdeen farm llc,2836 sheephouse rd,pocomoke city,md,21851,38.0506202,-75.5309779,chicken,430000,NA,aberdeen farm llc
"abraham's lot, inc.",center ridge road,luverne,al,NA,31.802222,-86.405556,chicken,NA,NA,abrahams lot inc
adam goss,farms 945 brocks chapel rd,union grove,al,NA,34.43926,-86.49153,chicken,NA,NA,adam goss
adam lovvorn,adam lovvorn farm 443 cr 92,graham,al,NA,33.456111,-85.328333,chicken,NA,NA,adam lovvorn
adams farms,county road 156,newville,al,36345,31.412222,-85.318889,chicken,NA,NA,adams farms
adcock farms,783 county highway 350,hackleburg,al,35564,34.23388,-87.82759,chicken,NA,NA,adcock farms
adcock farms,1963 county highway 25,guntersville,al,35976,34.21768,-86.46669,chicken,NA,NA,adcock farms
ahsan choudhary / sams farm (expansion),2409 ward rd,pocomoke city,md,21851,38.0828256447092,-75.4373497439028,chicken,301700,NA,ahsan choudhary  sams farm expansion
aikins poultry,20183 wolf drive,fairview,mo,64842,36.776810408,-94.102098393,chicken,240000,1920,aikins poultry
airks farm,3114 county road 141,flat rock,al,35981,34.772206,-85.601454,chicken,NA,NA,airks farm
aksmah llc / billo's farm,4041 johnson neck rd,pocomoke city,md,21851,38.0942856605736,-75.4681438654783,chicken,216000,NA,aksmah llc  billos farm
alan & kristin hudson,9101 logtown rd,berlin,md,21811,38.3652884,-75.2550387,chicken,80000,NA,alan  kristin hudson
alexander farm,craze road,hartselle,al,35640,34.43251,-87.06039,chicken,NA,NA,alexander farm
alexis farms llc,1500 county road 86,centre,al,35960,34.176685,-85.509812,chicken,NA,NA,alexis farms llc
alford farms,1240 county road 160,centre,al,NA,34.154722,-85.511389,chicken,NA,NA,alford farms
alfred wallach sr./rooster run farm,5666 finchville - reliance rd,federalsburg,md,21632,38.6327912,-75.7486695,chicken,46300,NA,alfred wallach srrooster run farm
ali murtaza/healthy chicks (new construction),7083 levin dashiell rd,salisbury,md,21801,38.37317,-75.61489,chicken,369600,NA,ali murtazahealthy chicks new construction
allen farm,409 county road 675,muscadine,al,36269,33.685585,-85.347757,chicken,NA,NA,allen farm
"allen harim farms, llc/davis mill farm",5635 davis mill pond rd,federalsburg,md,21632,38.6587416,-75.7530299,chicken,50000,NA,allen harim farms llcdavis mill farm
"allen harim farms, llc/dobson farm",6940 reliance rd,federalsburg,md,21632,38.6761988,-75.7656397,chicken,86800,NA,allen harim farms llcdobson farm
"allen harim farms, llc/lucy farm",6454 wheatley rd,federalsburg,md,21632,38.6412395,-75.7430727,chicken,132600,NA,allen harim farms llclucy farm
"allen harim farms, llc/todd farm",7024 whiteley rd,federalsburg,md,21632,38.6844769310325,-75.8065358272722,chicken,94300,NA,allen harim farms llctodd farm
allen poultry,1494 co rd 384,crossville,al,35962,34.253889,-86.046667,chicken,NA,NA,allen poultry
allen poultry farms,7352 al hwy 40/ hilltop rd.,henagar,al,35978,34.612778,-85.732222,chicken,NA,NA,allen poultry farms
"allen robinson/altogether blessed farm, llc (new construction)",27537 possum hill rd,federalsburg,md,21632,38.7804131,-75.7496555,chicken,144000,NA,allen robinsonaltogether blessed farm llc new construction
alton cusick,21498 dover bridge rd,preston,md,21655,38.7508813,-75.9606792,chicken,80000,NA,alton cusick
alvin allen/poor boy farm,3422 sheephouse rd,pocomoke city,md,21851,38.0429942,-75.5069535,chicken,51000,NA,alvin allenpoor boy farm
alvin callahan farm,224 bartlett farm lane,queen anne,md,21657,38.9389099086429,-76.0348936697227,chicken,65000,NA,alvin callahan farm
amazing grace farms,co rd 217,fort payne,al,35968,34.516389,-85.78,chicken,NA,NA,amazing grace farms
"amy crawford/faith & hope farm, llc",21361 tanyard road,preston,md,21673,38.7561258,-75.9623471,chicken,105000,NA,amy crawfordfaith  hope farm llc
amy tran/wings and a prayer farm,6605 old westover-marion rd,westover,md,21871,38.0616928,-75.7036049,chicken,100700,NA,amy tranwings and a prayer farm
anderson poultry farm,4183 county road 4430,brundidge,al,36010,31.63421,-85.76125,chicken,NA,NA,anderson poultry farm
andrew bohdan hudyma,8002 green lewis rd,willards,md,21874,38.4095302,-75.3342272,chicken,98400,NA,andrew bohdan hudyma
andrew davis farm,525 county road 4424,brundidge,al,36010,31.65644,-85.78812,chicken,NA,NA,andrew davis farm
andrew f. jones/ jones farm,5327 archie jones rd,willards,md,21852,38.3390163,-75.3573535,chicken,138000,NA,andrew f jones jones farm
andrew james haggerty/sandy hill farm,6585 sixty foot rd,pittsville,md,21850,38.3710976,-75.425441,chicken,70000,NA,andrew james haggertysandy hill farm
andrew l. mclean/relief farm,2815 ruthsburg rd,centreville,md,21617,39.0275996,-75.9167334,chicken,180000,NA,andrew l mcleanrelief farm
andy bowen farms,farrior road,luverne,al,36049,31.823611,-86.219167,chicken,NA,NA,andy bowen farms
andy sumners,26 county road 31,albertville,al,35957,34.256111,-86.100833,chicken,NA,NA,andy sumners
"angel's legacy, llc (new construction)",29181 waller rd,delmar,md,21875,38.4461755,-75.5994162,chicken,155000,NA,angels legacy llc new construction
anthony and chou yang,6923 state highway 76,exeter,mo,65647,36.674963722,-93.999141888,chicken,180000,1440,anthony and chou yang
"anthony balcerzak, sr./white haven farm",23235 capitola rd,tyaskin,md,21865,38.2868982,-75.8107042,chicken,48000,NA,anthony balcerzak srwhite haven farm
anthony e. balcerzak jr./big bivalve,21322 bivalve lodge rd,bivalve,md,21814,38.3033027,-75.8772051,chicken,35000,NA,anthony e balcerzak jrbig bivalve
anthony oberholtzer broiler chicken farm cafo,1500 pine grove rd,bethel,pa,NA,40.49257,-76.38941,chicken,NA,NA,anthony oberholtzer broiler chicken farm cafo
anthony rizzi/rizzi's roost,31635 mitchell rd,princess anne,md,21853,38.1468696,-75.6551704,chicken,81600,NA,anthony rizzirizzis roost
apv poultry,cr 44,headland,al,36345,31.389722,-85.408056,chicken,NA,NA,apv poultry
ar curtis inc,942 county highway 265,oran,mo,63771,37.094217567,-89.688008621,chicken,192000,1536,ar curtis inc
arab trading co.,2210 gillian springs road,arab,al,35016,34.357214,-86.509784,chicken,NA,NA,arab trading co
ariann le/phat chix farm,7766 esham rd,parsonsburg,md,21849,38.405579,-75.449563,chicken,300000,NA,ariann lephat chix farm
arnold farms east,57 mina lane,bertrand,mo,63823,36.947494535,-89.486927364,chicken,384000,3072,arnold farms east
arrowhead farms,county road 479,albertville,al,35951,34.257222,-86.088611,chicken,NA,NA,arrowhead farms
ashbrooke farm,554 co hwy 326,hodges,al,NA,34.34495,-87.93672,chicken,NA,NA,ashbrooke farm
ashley r. wright/pop pop's dream farm,6718 dion rd,federalsburg,md,21632,38.788676100000004,-75.7710745,chicken,80000,NA,ashley r wrightpop pops dream farm
aubrey storm/first frost farm,10435 chapel rd,easton,md,21601,38.828809820153,-76.0094187393572,chicken,57000,NA,aubrey stormfirst frost farm
"austin branch farms, inc.",1800 county highway 65,bear creek,al,35581,34.29835,-87.70905,chicken,NA,NA,austin branch farms inc
aydelotte poultry llc,2633 bunting rd,pocomoke city,md,21851,38.0116835131725,-75.5374365545282,chicken,165000,NA,aydelotte poultry llc
b & c farms,5393 horace odom road,millry,al,36558,31.69434,-88.41079,chicken,NA,NA,b  c farms
b & j farms,1254 co. rd. 68,ariton,al,36374,31.601667,-85.590278,chicken,NA,NA,b  j farms
b and d poultry farms llc,17100 hwy z,nelson,mo,65347,38.941035866,-93.038020657,chicken,150000,1200,b and d poultry farms llc
b and f farms,24051 broodlane,cole camp,mo,65338,38.525832832,-93.252148736,chicken,149400,1195,b and f farms
b and s farms,414 fowler road,steele,al,35121,33.937222,-86.381667,chicken,NA,NA,b and s farms
b&e farms,1037 dale county road 351,newville,al,36353,31.477524,-85.42989,chicken,NA,NA,be farms
back forty farms,3489 poorhouse road,greenville,al,36037,31.871455,-86.575104,chicken,NA,NA,back forty farms
backstrom farm,1964 county highway 25,guntersville,al,35976,34.217625,-86.466758,chicken,NA,NA,backstrom farm
bagwell farm,2578 county highway 48,blountsville,al,35031,34.21067,-86.50485,chicken,NA,NA,bagwell farm
bailey farm,3479 sandis road,cragford,al,36251,33.185556,-85.802778,chicken,NA,NA,bailey farm
bailey farm,county road 39,woodland,al,36280,33.338333,-85.298889,chicken,NA,NA,bailey farm
bailey's poultry,county road 56,wedowee,al,36280,33.340295,-85.50446,chicken,NA,NA,baileys poultry
bain farms,280 county road 262,town creek,al,35672,34.636811,-87.404636,chicken,NA,NA,bain farms
baldwin poultry,468 county road 16,midland city,al,36350,31.410902,-85.487599,chicken,NA,NA,baldwin poultry
banks farms,31904 quince rd.,fairview,mo,64842,36.792497419,-94.078259911,chicken,260000,2080,banks farms
banks feedmill,highway 93 and county road 69,banks,al,NA,31.789444,-85.820556,chicken,NA,NA,banks feedmill
"barbaree loop poultry, llc",1905 county road 4413,banks,al,36005,31.761336,-85.693611,chicken,NA,NA,barbaree loop poultry llc
barkley cattle llc,2453 hustleville road,albertville,al,35951,34.31656,-86.17863,chicken,NA,NA,barkley cattle llc
barley farms,862 donerville rd,millersville,pa,NA,39.997624,-76.386395,chicken,NA,NA,barley farms
"barnes family farms, llc/wesley road farm",5405 wesley rd,hurlock,md,21643,38.63816,-75.86254,chicken,70000,NA,barnes family farms llcwesley road farm
barnett farm,161county road 1112,cullman,al,35057,34.214167,-87.000278,chicken,NA,NA,barnett farm
barry brent ickes/ickes farm,35799 bob kelly rd,pittsville,md,21850,38.3109139426341,-75.3715425946929,chicken,150000,NA,barry brent ickesickes farm
